MANDT	MATNR	STLAL	STLAN	STLNR	WERKS	CSLTY	LOSBS	LOSVN
800	000000000000000938	01	1	00002840	3000		0	0
800	000000000000000949	01	1	00002839	3000		0	0
800	000000000000000953	01	1	00002838	3000		0	0
800	000000000000001012	01	1	00002848	1100		0	0
800	000000000000001700	01	1	00003145	1000		0	0
800	000000000000001718	01	1	00003148	1000		0	0
800	000000000000001837	01	1	00003370	3800		0	0
800	100-100	01	1	00000015	1000		0	0
800	100-100	02	1	00000015	1000		0	0
800	100-100	01	1	00000044	3000		0	0
800	100-101	01	1	00000339	1000		0	0
800	100-200	01	1	00000016	1000		0	0
800	100-200	01	1	00000045	3000		0	0
800	100-300	01	1	00000017	1000		0	0
800	100-300	01	1	00000046	3000		0	0
800	100-301	01	1	00000338	1000		0	0
800	100-400	01	1	00000018	1000		0	0
800	100-400	01	1	00000047	3000		0	0
800	100-500	01	1	00000019	1000		0	0
800	100-500	01	1	00000048	3000		0	0
800	101-100	01	1	00000020	1000		0	0
800	101-100	01	1	00000049	3000		0	0
800	101-200	01	1	00000023	1000		0	0
800	101-200	01	1	00000050	3000		0	0
800	101-400	01	1	00000026	1000		0	0
800	101-400	01	1	00000051	3000		0	0
800	102-100	01	1	00000021	1000		0	0
800	102-100	01	1	00000052	3000		0	0
800	102-200	01	1	00000024	1000		0	0
800	102-200	01	1	00000053	3000		0	0
800	102-300	01	1	00001638	1000		0	0
800	102-300	01	1	00001640	3000		0	0
800	102-400	01	1	00000027	1000		0	0
800	102-400	01	1	00000054	3000		0	0
800	102-500	01	1	00001637	1000		0	0
800	102-500	01	1	00001641	3000		0	0
800	103-100	01	1	00000022	1000		0	0
800	103-100	01	1	00000055	3000		0	0
800	103-200	01	1	00000025	1000		0	0
800	103-200	01	1	00000056	3000		0	0
800	103-400	01	1	00000028	1000		0	0
800	103-400	01	1	00000057	3000		0	0
800	104-100	01	1	00000585	1000		0	0
800	104-200	01	1	00000586	1000		0	0
800	104-200	01	1	00000586	3000		0	0
800	107-100	01	1	00002753	3000		0	0
800	107-200	01	1	00002754	3000		0	0
800	107-300	01	1	00002755	3000		0	0
800	1300-100	01	1	00000059	1000		0	0
800	1300-100	01	1	00000357	3000		0	0
800	1300-1400	01	1	00000334	3000		0	0
800	1300-1500	01	1	00000335	3000		0	0
800	1300-1502	01	1	00000343	3000		0	0
800	1300-1800	01	1	00000330	3000		0	0
800	1300-200	01	1	00000060	1000		0	0
800	1300-200	01	1	00000358	3000		0	0
800	1300-300	01	1	00000061	1000		0	0
800	1300-300	01	1	00000359	3000		0	0
800	1300-400	01	1	00000075	1000		0	0
800	1300-400	01	1	00000360	3000		0	0
800	1400-700	01	1	00000409	1000		0	0
800	1400-700	01	1	00000337	3000		0	0
800	200-200	01	1	00000040	1100		100	1
800	200-200	02	1	00000040	1100		1000	101
800	200-200	03	1	00000040	1100		100000	1001
800	200-200	01	1	00000040	3100		0	0
800	200-200	02	1	00000040	3100		0	0
800	200-200	03	1	00000040	3100		0	0
800	200-200	04	1	00000040	3100		99999999	1
800	2200-100	01	1	00000354	3000		0	0
800	2300-101	01	1	00000332	3000		0	0
800	2300-102	01	1	00000331	3000		0	0
800	2300-131	01	1	00000349	3000		0	0
800	2300-160	01	1	00000348	3000		0	0
800	2300-200	01	1	00000333	3000		0	0
800	2300-300	01	1	00000328	3000		0	0
800	2300-400	01	1	00000329	3000		0	0
800	2300-500	01	1	00000346	3200		0	0
800	2300-501	01	1	00000347	3200		0	0
800	250-100	01	1	00000517	1100		0	0
800	350-100	01	1	00000483	1100		0	0
800	40-100C	01	1	00000030	1200		0	0
800	40-100C	01	1	00000280	3200		0	0
800	40-100F	01	1	00000032	1200		0	0
800	40-100F	01	1	00000283	3200		0	0
800	40-100R	01	1	00000169	1200		0	0
800	40-100R	01	1	00000248	3200		0	0
800	40-100Y	01	1	00000170	1200		0	0
800	40-100Y	01	1	00000251	3200		0	0
800	400-100	01	1	00000141	1000		0	0
800	400-100	01	1	00000253	3000		0	0
