MANDT	STASZ	STLAL	STLKN	STLNR	STLTY	AENNR	DATUV	LKENZ	STVKN
800	00000123	01	00000009	00000014	M		20000818		00000001
800	00000145	02	00000045	00000014	M		19941108		00000001
800	00000149	03	00000047	00000014	M		20000818		00000001
800	00000176	04	00000056	00000014	M		20010815		00000001
800	00000081	01	00000025	00000014	M		19941108		00000002
800	00000050	02	00000011	00000014	M		19941108		00000002
800	00000054	03	00000013	00000014	M		19941108		00000002
800	00000120	01	00000003	00000014	M		20000818		00000003
800	00000021	02	00000003	00000014	M		19941108		00000003
800	00000172	03	00000054	00000014	M		20000818		00000003
800	00000174	04	00000055	00000014	M		20010815		00000003
800	00000126	01	00000010	00000014	M		20000818		00000004
800	00000147	02	00000046	00000014	M		19941108		00000004
800	00000151	03	00000048	00000014	M		20000818		00000004
800	00000178	04	00000057	00000014	M		20010815		00000004
800	00000135	01	00000029	00000014	M		20000818		00000005
800	00000180	04	00000058	00000014	M		20010815		00000005
800	00000095	01	00000032	00000014	M		19981106		00000006
800	00000141	02	00000032	00000014	M		20000818		00000006
800	00000142	03	00000032	00000014	M		20000818		00000006
800	00000168	04	00000032	00000014	M		20010815		00000006
800	00000194	01	00000065	00000014	M		20000818		00000008
800	00000073	02	00000021	00000014	M		19941108		00000008
800	00000186	03	00000061	00000014	M		20000818		00000008
800	00000188	04	00000062	00000014	M		20010815		00000008
800	00000192	01	00000064	00000014	M		20000818		00000019
800	00000067	02	00000019	00000014	M		19941118		00000019
800	00000182	03	00000059	00000014	M		20000818		00000019
800	00000184	04	00000060	00000014	M		20010815		00000019
800	00000093	01	00000031	00000014	M		19981106		00000031
800	00000190	04	00000063	00000014	M		20010815		00000031
800	00000153	02	00000049	00000014	M		20000825		00000049
800	00000155	02	00000050	00000014	M		20000825		00000050
800	00000157	03	00000051	00000014	M		20000825		00000051
800	00000159	03	00000052	00000014	M		20000825		00000052
800	00000170	04	00000053	00000014	M		20010815		00000053
800	00000003	01	00000001	00000015	M		19941108		00000001
800	00000005	01	00000002	00000015	M		19941108		00000002
800	00000007	01	00000003	00000015	M		19941108		00000003
800	00000010	02	00000004	00000015	M		20221103		00000004
800	00000012	02	00000005	00000015	M		20221103		00000005
800	00000003	01	00000001	00000016	M		19941108		00000001
800	00000005	01	00000002	00000017	M		20000519		00000002
800	00000003	01	00000001	00000018	M		19941108		00000001
800	00000005	01	00000002	00000018	M		19941108		00000002
800	00000007	01	00000003	00000018	M		19941108		00000003
800	00000009	01	00000004	00000018	M		19941108		00000004
800	00000011	01	00000005	00000018	M		19941108		00000005
800	00000013	01	00000006	00000018	M		19941108		00000006
800	00000003	01	00000001	00000019	M		19941108		00000001
800	00000003	01	00000001	00000020	M		19941108		00000001
800	00000005	01	00000002	00000020	M		19941108		00000002
800	00000007	01	00000003	00000020	M		19941108		00000003
800	00000003	01	00000001	00000021	M		19941108		00000001
800	00000009	01	00000004	00000021	M		20020214		00000004
800	00000011	01	00000005	00000021	M		20020214		00000005
800	00000003	01	00000001	00000022	M		19941108		00000001
800	00000005	01	00000002	00000022	M		19941108		00000002
800	00000007	01	00000003	00000022	M		19941108		00000003
800	00000003	01	00000001	00000023	M		19941108		00000001
800	00000003	01	00000001	00000024	M		19941108		00000001
800	00000003	01	00000001	00000025	M		19941108		00000001
800	00000003	01	00000001	00000026	M		19941108		00000001
800	00000003	01	00000001	00000027	M		19941108		00000001
800	00000005	01	00000002	00000027	M		20020215		00000002
800	00000007	01	00000003	00000027	M		20020215		00000003
800	00000009	01	00000004	00000027	M		20020215		00000004
800	00000011	01	00000005	00000027	M		20020215		00000005
800	00000013	01	00000006	00000027	M		20020215		00000006
800	00000003	01	00000001	00000028	M		19941108		00000001
800	00000003	01	00000001	00000029	M		19941110		00000001
800	00000044	01	00000001	00000029	M	000000001000	19960201	X	00000001
800	00000007	01	00000003	00000029	M		19941110		00000003
800	00000053	01	00000003	00000029	M	000000001000	19960201	X	00000003
800	00000016	02	00000003	00000029	M		19941110		00000003
800	00000067	02	00000003	00000029	M	000000001000	19960201	X	00000003
800	00000023	03	00000003	00000029	M		19941110		00000003
800	00000060	03	00000003	00000029	M	000000001000	19960201	X	00000003
800	00000009	01	00000004	00000029	M		19941110		00000004
800	00000012	02	00000005	00000029	M		19941110		00000005
800	00000014	02	00000006	00000029	M		19941110		00000006
800	00000050	02	00000006	00000029	M	000000001000	19960201	X	00000006
800	00000019	03	00000007	00000029	M		19941110		00000007
800	00000021	03	00000008	00000029	M		19941110		00000008
800	00000047	03	00000008	00000029	M	000000001000	19960201	X	00000008
800	00000031	01	00000012	00000029	M		19941111		00000012
800	00000035	01	00000012	00000029	M	000000002000	19960301	X	00000012
800	00000056	01	00000012	00000029	M	000000001000	19960201	X	00000012
800	00000032	02	00000012	00000029	M		19941111		00000012
800	00000041	02	00000012	00000029	M	000000002000	19960301	X	00000012
800	00000070	02	00000012	00000029	M	000000001000	19960201	X	00000012
800	00000033	03	00000012	00000029	M		19941111		00000012
800	00000038	03	00000012	00000029	M	000000002000	19960301	X	00000012
800	00000063	03	00000012	00000029	M	000000001000	19960201	X	00000012
800	00000036	01	00000013	00000029	M	000000002000	19960301		00000013
800	00000039	03	00000014	00000029	M	000000002000	19960301		00000014
800	00000042	02	00000015	00000029	M	000000002000	19960301		00000015
800	00000045	01	00000016	00000029	M	000000001000	19960201		00000016
800	00000048	03	00000017	00000029	M	000000001000	19960201		00000017
800	00000051	02	00000018	00000029	M	000000001000	19960201		00000018
800	00000054	01	00000019	00000029	M	000000001000	19960201		00000019
800	00000057	01	00000020	00000029	M	000000001000	19960201		00000020
800	00000058	01	00000020	00000029	M	000000002000	19960301	X	00000020
800	00000061	03	00000021	00000029	M	000000001000	19960201		00000021
800	00000064	03	00000022	00000029	M	000000001000	19960201		00000022
800	00000065	03	00000022	00000029	M	000000002000	19960301	X	00000022
800	00000068	02	00000023	00000029	M	000000001000	19960201		00000023
800	00000071	02	00000024	00000029	M	000000001000	19960201		00000024
800	00000072	02	00000024	00000029	M	000000002000	19960301	X	00000024
800	00000005	01	00000002	00000030	M		19941110		00000002
800	00000007	01	00000003	00000030	M		19941110		00000003
800	00000024	02	00000003	00000030	M		19941111		00000003
800	00000035	03	00000003	00000030	M		19941111		00000003
800	00000009	01	00000004	00000030	M		19941110		00000004
800	00000025	02	00000004	00000030	M		19941111		00000004
800	00000036	03	00000004	00000030	M		19941111		00000004
800	00000011	01	00000005	00000030	M		19941110		00000005
800	00000026	02	00000005	00000030	M		19941111		00000005
800	00000037	03	00000005	00000030	M		19941111		00000005
800	00000013	01	00000006	00000030	M		19941110		00000006
800	00000027	02	00000006	00000030	M		19941111		00000006
800	00000038	03	00000006	00000030	M		19941111		00000006
800	00000015	01	00000007	00000030	M		19941110		00000007
800	00000028	02	00000007	00000030	M		19941111		00000007
800	00000039	03	00000007	00000030	M		19941111		00000007
800	00000017	01	00000008	00000030	M		19941110		00000008
800	00000029	02	00000008	00000030	M		19941111		00000008
800	00000040	03	00000008	00000030	M		19941111		00000008
800	00000019	01	00000009	00000030	M		19941110		00000009
800	00000030	02	00000009	00000030	M		19941111		00000009
800	00000041	03	00000009	00000030	M		19941111		00000009
800	00000022	02	00000010	00000030	M		19941111		00000010
800	00000033	03	00000011	00000030	M		19941111		00000011
800	00000043	01	00000012	00000030	M		19941110		00000012
800	00000045	02	00000013	00000030	M		19941111		00000013
800	00000047	03	00000014	00000030	M		19941111		00000014
