MANDT	STKOZ	STLAL	STLNR	STLTY	BMEIN	BMENG	DATUV	LKENZ	LOEKZ	STLST	VGKZL
800	00000001	01	00000014	M	ST	1	19941108			01	00000000
800	00000001	01	00000015	M	ST	1	19941108			01	00000000
800	00000001	01	00000016	M	ST	1	19941108			01	00000000
800	00000001	01	00000017	M	ST	1	19941108			01	00000000
800	00000001	01	00000018	M	ST	1	19941108			01	00000000
800	00000001	01	00000019	M	ST	1	19941108			01	00000000
800	00000001	01	00000020	M	ST	1	19941108			01	00000000
800	00000001	01	00000021	M	ST	1	19941108			01	00000000
800	00000001	01	00000022	M	ST	1	19941108			01	00000000
800	00000001	01	00000023	M	ST	1	19941108			01	00000000
800	00000001	01	00000024	M	ST	1	19941108			01	00000000
800	00000001	01	00000025	M	ST	1	19941108			01	00000000
800	00000001	01	00000026	M	ST	1	19941108			01	00000000
800	00000001	01	00000027	M	ST	1	19941108			01	00000000
800	00000001	01	00000028	M	ST	1	19941108			01	00000000
800	00000001	01	00000029	M	KAR	1	19941110			01	00000000
800	00000001	01	00000030	M	ST	1000	19941110			01	00000000
800	00000001	01	00000031	M	KAR	1	19941110			01	00000000
800	00000001	01	00000032	M	ST	1000	19941111			01	00000000
800	00000001	01	00000044	M	ST	1	19941114			01	00000000
800	00000001	01	00000045	M	ST	1	19941114			01	00000000
800	00000001	01	00000046	M	ST	1	19941114			01	00000000
800	00000001	01	00000047	M	ST	1	19941114			01	00000000
800	00000001	01	00000048	M	ST	1	19941114			01	00000000
800	00000001	01	00000049	M	ST	1	19941114			01	00000000
800	00000001	01	00000050	M	ST	1	19941114			01	00000000
800	00000001	01	00000051	M	ST	1	19941114			01	00000000
800	00000001	01	00000052	M	ST	1	19941114			01	00000000
800	00000001	01	00000053	M	ST	1	19941114			01	00000000
800	00000001	01	00000054	M	ST	1	19941114			01	00000000
800	00000001	01	00000055	M	ST	1	19941114			01	00000000
800	00000001	01	00000056	M	ST	1	19941114			01	00000000
800	00000001	01	00000057	M	ST	1	19941114			01	00000000
800	00000001	01	00000058	M	ST	1	19941114			01	00000000
800	00000001	01	00000059	M	ST	1	19941114			01	00000000
800	00000001	01	00000060	M	ST	1	19941114			01	00000000
800	00000001	01	00000061	M	ST	1	19941114			01	00000000
800	00000001	01	00000075	M	ST	1	19941117			01	00000000
800	00000001	01	00000076	M	KG	1	19941118			01	00000000
800	00000001	01	00000078	M	ST	1	19941118			01	00000000
800	00000001	01	00000079	M	KG	1	19941121			01	00000000
800	00000001	01	00000094	M	ST	1	19941202			01	00000000
800	00000001	01	00000097	M	ST	1	19941223			01	00000000
800	00000001	01	00000098	M	KG	1	19941230			01	00000000
800	00000001	01	00000110	M	ST	1	19950503			01	00000000
800	00000001	01	00000111	M	ST	1	19950503			01	00000000
800	00000001	01	00000112	M	ST	1	19950505			01	00000000
800	00000001	01	00000114	M	ST	1	19950505			01	00000000
800	00000001	01	00000115	M	ST	1	19950505			01	00000000
800	00000001	01	00000116	M	ST	1	19950505			01	00000000
800	00000001	01	00000120	M	ST	1	19950505			01	00000000
800	00000001	01	00000122	M	KG	5000	19950509			01	00000000
800	00000001	01	00000140	M	ST	1	19950524			01	00000000
800	00000001	01	00000141	M	ST	1	19950524			01	00000000
800	00000001	01	00000142	M	ST	1	19950524			01	00000000
800	00000001	01	00000143	M	ST	1	19950524			01	00000000
800	00000001	01	00000144	M	ST	1	19950524			01	00000000
800	00000001	01	00000145	M	ST	1	19950524			01	00000000
800	00000001	01	00000146	M	ST	1	19950531			01	00000000
800	00000001	01	00000148	M	ST	1	19950601			01	00000000
800	00000001	01	00000149	M	ST	1	19950501			01	00000000
800	00000001	01	00000152	M	ST	1	19950501			01	00000000
800	00000001	01	00000153	M	ST	1	19950607			01	00000000
800	00000001	01	00000154	M	ST	1	19950607			01	00000000
800	00000001	01	00000162	M	KG	5000	19950609			01	00000000
800	00000001	01	00000167	M	ST	1000	19950101			01	00000000
800	00000001	01	00000168	M	ST	1000	19950101			01	00000000
800	00000001	01	00000169	M	ST	1000	19950101			01	00000000
800	00000001	01	00000170	M	ST	1000	19950101			01	00000000
800	00000001	01	00000171	M	ST	1000	19950101			01	00000000
800	00000001	01	00000172	M	ST	1000	19950101			01	00000000
800	00000001	01	00000173	M	KAR	1	19950101			01	00000000
800	00000001	01	00000174	M	KAR	1	19950101			01	00000000
800	00000001	01	00000175	M	KAR	1	19950101			01	00000000
800	00000001	01	00000176	M	KAR	1	19950101			01	00000000
800	00000001	01	00000177	M	KAR	1	19950101			01	00000000
800	00000001	01	00000178	M	KAR	1	19950101			01	00000000
800	00000001	01	00000181	M	ST	1	19950627			01	00000000
800	00000001	01	00000184	M	KG	1	19950628			01	00000000
800	00000001	01	00000196	M	ST	1	19950802			01	00000000
800	00000001	01	00000197	M	ST	1	19950802			01	00000000
800	00000001	01	00000198	M	ST	1	19950802			01	00000000
800	00000001	01	00000199	M	ST	1	19950802			01	00000000
800	00000001	01	00000200	M	ST	1	19950802			01	00000000
800	00000001	01	00000201	M	ST	1	19950802			01	00000000
800	00000001	01	00000202	M	ST	1	19950802			01	00000000
800	00000001	01	00000203	M	ST	1	19950802			01	00000000
800	00000001	01	00000205	M	ST	1	19950802			01	00000000
800	00000001	01	00000206	M	ST	1	19950804			01	00000000
800	00000001	01	00000209	M	ST	1	19950810			01	00000000
800	00000001	01	00000210	M	ST	1	19950810			01	00000000
800	00000001	01	00000211	M	ST	1	19950810			01	00000000
800	00000001	01	00000212	M	ST	1	19950810			01	00000000
800	00000001	01	00000213	M	ST	1	19950814			01	00000000
800	00000001	01	00000214	M	ST	60	19950815			01	00000000
800	00000001	01	00000215	M	ST	1	19950815			01	00000000
800	00000001	01	00000226	M	KG	5000	19950914			01	00000000
800	00000001	01	00000230	M	KG	5000	19951003			01	00000000
800	00000001	01	00000233	M	ST	1	19951025			01	00000000
800	00000001	01	00000234	M	ST	1	19951101			01	00000000
800	00000001	01	00000235	M	KAR	1	19951101			01	00000000
800	00000001	01	00000236	M	KAR	1	19951101			01	00000000
800	00000001	01	00000237	M	KAR	1	19951101			01	00000000
800	00000001	01	00000238	M	KAR	1	19951101			01	00000000
800	00000001	01	00000239	M	KAR	1	19951101			01	00000000
800	00000001	01	00000240	M	ST	1	19951102			01	00000000
800	00000001	01	00000241	M	ST	1	19951102			01	00000000
800	00000001	01	00000242	M	ST	1	19951102			01	00000000
800	00000001	01	00000247	M	KAR	1	19951101			01	00000000
800	00000001	01	00000248	M	ST	1000	19951101			01	00000000
800	00000001	01	00000249	M	ST	1000	19951101			01	00000000
800	00000001	01	00000250	M	ST	1000	19951101			01	00000000
